"Client"	"RegistrationDt"	"Age"	"Gender"	"MaritalStatus"	"HasChildren"	"NumChildren"	"PostalCode"	"Zone"	"City"
"68"	"101981678"	"2009-03-12 00:00:00.000"	59	"F"	"M"	"Y"	1	"4460-800"	"PORTO"	"CUSTÓIAS MTS"
"69"	"102000069"	"2013-05-03 00:00:00.000"	61	"F"	""	"N"	3	"4435-119"	"RIO TINTO - GONDOMAR"	"RIO TINTO"
"70"	"102039810"	"2008-10-02 00:00:00.000"	57	"M"	"M"	"Y"	1	"4200-367"	"PORTO"	"PORTO"
"71"	"102052344"	"2014-07-22 00:00:00.000"	90	"F"	"S"	"N"	0	"4710-914"	"BRAGA"	"BRAGA"
"72"	"102124264"	"2009-04-07 00:00:00.000"	57	"F"	"S"	"N"	0	"4420-103"	"RIO TINTO - GONDOMAR"	"GONDOMAR"
"73"	"102143986"	"2013-01-31 00:00:00.000"	63	"M"	""	"N"	0	"4440-565"	"PORTO"	"VALONGO"
"74"	"102160473"	"2010-04-02 00:00:00.000"	53	"M"	""	"N"	0	"4505-147"	"OUTROS"	"ARGONCILHE"
"75"	"102298483"	"2009-06-23 00:00:00.000"	65	"F"	"M"	"Y"	3	"4250-172"	"PORTO"	"PORTO"
"76"	"102299102"	"2009-06-29 00:00:00.000"	59	"M"	"S"	"N"	0	"4250-017"	"PORTO"	"PORTO"
"77"	"102299110"	"2011-05-22 00:00:00.000"	66	"F"	"S"	"N"	0	"4435-025"	"RIO TINTO - GONDOMAR"	"RIO TINTO"
"78"	"102394555"	"2008-12-09 00:00:00.000"	66	"F"	"S"	"N"	0	"4200-534"	"PORTO"	"PORTO"
"79"	"102426651"	"2008-11-17 00:00:00.000"	72	"M"	"M"	"Y"	4	"4400-461"	"PORTO"	"V.N.GAIA"
"80"	"102475997"	"2014-07-22 00:00:00.000"	71	"F"	"M"	"N"	0	"4715-586"	"BRAGA"	"BRAGA"
"81"	"102516596"	"2014-07-03 00:00:00.000"	74	"M"	"S"	"N"	0	"4435-025"	"RIO TINTO - GONDOMAR"	"RIO TINTO"
"82"	"102518181"	"2009-03-10 00:00:00.000"	59	"M"	"S"	"Y"	2	"4430-214"	"PORTO"	"V.N.GAIA"
"83"	"102518351"	"2008-08-15 00:00:00.000"	64	"M"	"S"	"N"	0	"4430-646"	"PORTO"	"V.N.GAIA"
"84"	"102518645"	"2011-08-17 00:00:00.000"	60	"M"	""	"N"	0	"4050-122"	"PORTO"	"PORTO"
"85"	"102518866"	"2011-08-17 00:00:00.000"	57	"M"	"M"	"Y"	3	"4425-656"	"PORTO"	"MAIA"
"86"	"102536180"	"2013-07-10 00:00:00.000"	53	"F"	""	"N"	0	"4690-629"	"OUTROS"	"SOUSELO"
"87"	"102608482"	"2008-09-25 00:00:00.000"	70	"F"	"S"	"Y"	4	"4415-252"	"PORTO"	"PEDROSO"
"88"	"102612692"	"2009-03-12 00:00:00.000"	62	"F"	"S"	"N"	0	"4460-322"	"PORTO"	"SENHORA DA HORA"
"89"	"102616140"	"2010-12-10 00:00:00.000"	71	"M"	""	"N"	0	"4405-750"	"PORTO"	"V.N.GAIA"
"90"	"102637555"	"2014-09-05 00:00:00.000"	57	"F"	"S"	"Y"	4	"4700-757"	"BRAGA"	"PALMEIRA BRG"
"91"	"102671214"	"2013-07-10 00:00:00.000"	59	"M"	"S"	"N"	0	"4745-476"	"PORTO"	"SÃO MAMEDE CORONADO"
"92"	"102671346"	"2008-10-02 00:00:00.000"	64	"M"	"S"	"N"	0	"4430-535"	"PORTO"	"V.N.GAIA"
"93"	"102807671"	"2013-12-06 00:00:00.000"	55	"F"	""	"N"	0	"4050-292"	"PORTO"	"PORTO"
"94"	"102842280"	"2012-08-24 00:00:00.000"	57	"M"	""	"N"	0	"4465-024"	"PORTO"	" SÃO MAMEDE DE INFESTA"
"95"	"102849609"	"2011-03-09 00:00:00.000"	75	"F"	"S"	"Y"	3	"4430-109"	"PORTO"	"V.N.GAIA"
"96"	"102870128"	"2012-12-12 00:00:00.000"	67	"M"	"M"	"Y"	1	"4425-650"	"PORTO"	"MAIA"
"97"	"102922276"	"2009-07-31 00:00:00.000"	82	"F"	"S"	"Y"	3	"4050-229"	"PORTO"	"PORTO"
"98"	"103101365"	"2010-05-16 00:00:00.000"	74	"F"	""	"Y"	3	"4440-505"	"PORTO"	"VALONGO"
"99"	"103120416"	"2008-08-04 00:00:00.000"	83	"F"	""	"N"	0	"4050-262"	"PORTO"	"PORTO"
